msisdn,activation_date,nik_kk_status,registered_imei
81167748491,2023-01-29,Valid,
82149168526,2023-01-04,Valid,350000000247793.0
81267992845,2023-03-23,Valid,
82297721360,2023-07-20,Valid,
82154897876,2023-06-18,Valid,
82173232446,2023-03-28,Valid,
81265928922,2023-07-08,Missing/Unregistered,350000000946016.0
82190002024,2023-10-04,Valid,
81246974874,2023-02-21,Valid,
85230559500,2023-03-27,Valid,350000000708570.0
81185117575,2023-07-27,Valid,350000000094540.0
81299958975,2023-04-11,Valid,350000000807717.0
82229125681,2023-06-17,Valid,350000000441912.0
82110776389,2023-06-17,Missing/Unregistered,
82298490218,2023-01-23,Valid,350000000858571.0
82218463839,2023-05-07,Valid,
85276564441,2023-07-05,Valid,
81282977382,2023-08-12,Valid,
82275100665,2023-07-25,Valid,
81145422180,2023-10-20,Valid,
82275612647,2023-07-01,Valid,350000000210156.0
85261148631,2023-08-23,Valid,350000000705937.0
81138275003,2023-01-19,Valid,
85286027805,2023-06-26,Valid,350000000622593.0
82114318953,2023-05-16,Valid,
81235979071,2023-03-05,Valid,
82190904293,2023-07-08,Valid,
85280065678,2023-03-19,Valid,
82215718251,2023-05-08,Missing/Unregistered,350000000653485.0
85284847416,2023-06-13,Valid,
85211592507,2023-09-28,Valid,350000000158972.0
81255987952,2023-01-24,Valid,
82290838866,2023-07-01,Missing/Unregistered,
81245434272,2023-09-17,Valid,
81153943616,2023-10-26,Valid,
81269166006,2023-07-23,Valid,
85216287152,2023-03-24,Valid,350000000726906.0
81274525003,2023-06-06,Valid,
81249361792,2023-08-26,Valid,
81164431888,2023-02-07,Valid,350000000675485.0
81279931173,2023-03-17,Valid,350000000327222.0
82123565130,2023-04-21,Valid,
82162701282,2023-09-26,Valid,
82165581347,2023-07-10,Valid,
82145603816,2023-04-10,Valid,350000000330804.0
81222472919,2023-07-21,Valid,
81176376880,2023-01-29,Valid,350000000111186.0
85287906874,2023-02-28,Valid,350000000799025.0
81285274445,2023-01-24,Valid,
85240493394,2023-02-25,Valid,
82135584371,2023-09-18,Valid,
81175720248,2023-03-03,Missing/Unregistered,
81143549038,2023-10-04,Valid,
81110989837,2023-01-11,Valid,
85213120646,2023-03-17,Valid,350000000879611.0
82155803878,2023-02-01,Valid,
82149992863,2023-03-25,Valid,
81299860345,2023-02-18,Valid,
81297496535,2023-09-13,Valid,
82110093292,2023-06-15,Valid,
85241408688,2023-07-22,Missing/Unregistered,
81229888355,2023-01-04,Valid,
81114514066,2023-03-20,Valid,
82159678205,2023-06-02,Valid,
82256012042,2023-02-21,Valid,
82279616587,2023-02-19,Valid,
85211232220,2023-01-08,Valid,350000000958927.0
82147270412,2023-04-19,Valid,
81143030880,2023-10-05,Valid,
85289775958,2023-03-20,Valid,350000000049259.0
85250997309,2023-02-03,Valid,
85230900539,2023-02-28,Valid,350000000745353.0
82250294746,2023-04-06,Valid,
82125436265,2023-04-27,Valid,
82181198805,2023-10-19,Valid,350000000144704.0
81243641486,2023-01-31,Valid,350000000362865.0
81173146315,2023-04-19,Valid,350000000842324.0
85238419176,2023-09-11,Missing/Unregistered,
81283286914,2023-08-22,Valid,350000000288146.0
81234265436,2023-06-15,Valid,
82230718447,2023-03-26,Valid,
82125432968,2023-07-09,Valid,350000000723352.0
82241303307,2023-06-21,Valid,
82238600229,2023-10-19,Valid,350000000570315.0
81221743638,2023-10-21,Valid,350000000040779.0
82249574666,2023-09-17,Valid,
85287004274,2023-02-09,Valid,350000000181583.0
82249993497,2023-04-22,Valid,
82217323573,2023-07-27,Missing/Unregistered,
81237193661,2023-09-05,Valid,
82224325630,2023-10-27,Valid,350000000335592.0
81222010748,2023-06-05,Valid,350000000108192.0
81183726952,2023-03-31,Valid,350000000150656.0
81113467584,2023-04-03,Valid,
81261484307,2023-09-01,Valid,350000000848648.0
82169695002,2023-08-15,Valid,
81190580722,2023-07-09,Valid,
82238301174,2023-10-12,Valid,
81232705650,2023-10-09,Valid,
81226265386,2023-01-31,Valid,350000000465632.0
85271916584,2023-04-02,Valid,
82298412358,2023-05-17,Valid,
85285716785,2023-03-12,Missing/Unregistered,
82216199887,2023-05-08,Valid,
82117205279,2023-09-12,Missing/Unregistered,350000000889972.0
81224685794,2023-04-11,Valid,
81221869524,2023-08-16,Missing/Unregistered,
82197077939,2023-01-09,Valid,350000000235141.0
82118433264,2023-02-08,Valid,
81170416507,2023-03-26,Valid,
82246076982,2023-05-31,Missing/Unregistered,350000000624963.0
85288584872,2023-08-01,Valid,
81241008522,2023-04-20,Valid,
81289755654,2023-10-21,Valid,350000000074602.0
82280352253,2023-06-21,Valid,
82155613054,2023-10-21,Missing/Unregistered,
81144799092,2023-09-29,Valid,350000000996339.0
81122029819,2023-08-08,Valid,
81157549507,2023-10-20,Valid,
85221325743,2023-05-25,Missing/Unregistered,350000000194560.0
85288404268,2023-08-07,Valid,
82193483211,2023-08-06,Valid,
81279648398,2023-08-12,Valid,
82219763461,2023-04-26,Valid,350000000898504.0
85228571323,2023-08-06,Valid,
85277324647,2023-09-12,Valid,
82118242093,2023-06-02,Valid,
81265290708,2023-04-11,Valid,
82298203475,2023-05-14,Valid,350000000794236.0
81271366307,2023-09-09,Valid,350000000670646.0
81129879849,2023-10-14,Valid,350000000296423.0
82163434871,2023-04-09,Valid,
82152044054,2023-08-18,Valid,
82279537935,2023-09-20,Valid,
85275705765,2023-02-13,Valid,350000000656036.0
85297364454,2023-02-14,Valid,
82263755491,2023-09-26,Valid,
81131114304,2023-07-11,Valid,350000000321839.0
81236122980,2023-02-14,Valid,
81130691724,2023-09-19,Valid,350000000940179.0
81240498325,2023-01-28,Valid,
82115781944,2023-04-02,Valid,
82293925022,2023-08-31,Valid,
81246318184,2023-04-12,Valid,
