msisdn,activation_date,nik_kk_status,registered_imei
081167748491,2023-01-29,Valid,
082149168526,2023-01-04,Valid,350000000247793
081267992845,2023-03-23,Valid,
082297721360,2023-07-20,Valid,
082154897876,2023-06-18,Valid,
082173232446,2023-03-28,Valid,
081265928922,2023-07-08,nan,350000000946016
082190002024,2023-10-04,Valid,
081246974874,2023-02-21,Valid,
085230559500,2023-03-27,Valid,350000000708570
081185117575,2023-07-27,Valid,350000000094540
081299958975,2023-04-11,Valid,350000000807717
082229125681,2023-06-17,Valid,350000000441912
082110776389,2023-06-17,nan,
082298490218,2023-01-23,Valid,350000000858571
082218463839,2023-05-07,Valid,
085276564441,2023-07-05,Valid,
081282977382,2023-08-12,Valid,
082275100665,2023-07-25,Valid,
081145422180,2023-10-20,Valid,
082275612647,2023-07-01,Valid,350000000210156
085261148631,2023-08-23,Valid,350000000705937
081138275003,2023-01-19,Valid,
085286027805,2023-06-26,Valid,350000000622593
082114318953,2023-05-16,Valid,
081235979071,2023-03-05,Valid,
082190904293,2023-07-08,Valid,
085280065678,2023-03-19,Valid,
082215718251,2023-05-08,nan,350000000653485
085284847416,2023-06-13,Valid,
085211592507,2023-09-28,Valid,350000000158972
081255987952,2023-01-24,Valid,
082290838866,2023-07-01,nan,
081245434272,2023-09-17,Valid,
081153943616,2023-10-26,Valid,
081269166006,2023-07-23,Valid,
085216287152,2023-03-24,Valid,350000000726906
081274525003,2023-06-06,Valid,
081249361792,2023-08-26,Valid,
081164431888,2023-02-07,Valid,350000000675485
081279931173,2023-03-17,Valid,350000000327222
082123565130,2023-04-21,Valid,
082162701282,2023-09-26,Valid,
082165581347,2023-07-10,Valid,
082145603816,2023-04-10,Valid,350000000330804
081222472919,2023-07-21,Valid,
081176376880,2023-01-29,Valid,350000000111186
085287906874,2023-02-28,Valid,350000000799025
081285274445,2023-01-24,Valid,
085240493394,2023-02-25,Valid,
082135584371,2023-09-18,Valid,
081175720248,2023-03-03,nan,
081143549038,2023-10-04,Valid,
081110989837,2023-01-11,Valid,
085213120646,2023-03-17,Valid,350000000879611
082155803878,2023-02-01,Valid,
082149992863,2023-03-25,Valid,
081299860345,2023-02-18,Valid,
081297496535,2023-09-13,Valid,
082110093292,2023-06-15,Valid,
085241408688,2023-07-22,nan,
081229888355,2023-01-04,Valid,
081114514066,2023-03-20,Valid,
082159678205,2023-06-02,Valid,
082256012042,2023-02-21,Valid,
